title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
Booking Calendar,booking,31.4,10.82,50000,10,1,5.88,359,4.7,4.7
WP Simple Booking Calendar,wp-simple-booking-calendar,29.01,9.21,10000,10,1,5.0,148,4.8,4.8
WCFM &#8211; WooCommerce Frontend Manager for WC Vendors Dokan with Bookings &amp; Listings,wc-frontend-manager,28.79,9.21,10000,10,1,4.78,119,4.8,4.8
WP Booking System,wp-booking-system,28.05,9.1,9000,10,1,4.34,77,4.6,4.6
Pinpoint Booking System &#8211; #1 Booking Calendar for WordPress and WooCommerce,booking-system,27.92,9.1,9000,10,1,5.01,150,3.8,3.8
WooCommerce,woocommerce,27.91,15.2,4000000,0,0,8.11,3325,4.6,4.6
Contact Form by WPForms &#8211; Drag &amp; Drop Form Builder for WordPress,wpforms-lite,27.83,14.51,2000000,0,0,8.42,4551,4.9,4.9
Salon booking system,salon-booking-system,27.8,8.7,6000,10,1,4.61,100,4.5,4.5
"Booking calendar, Appointment Booking System",booking-calendar,27.72,8.7,6000,10,1,4.42,83,4.6,4.6
Appointment Hour Booking &#8211; WordPress Booking Plugin,appointment-hour-booking,27.68,8.52,5000,10,1,4.26,71,4.9,4.9
Booking Ultra Pro Appointments Booking Calendar Plugin,booking-ultra-pro,27.68,8.29,4000,10,1,5.28,197,4.1,4.1
WordPress Online Booking and Scheduling Plugin â€“ Bookly,bookly-responsive-appointment-booking-tool,27.42,9.9,20000,10,1,4.22,68,3.3,3.3
Appointment Booking and Online Scheduling by vCita,meeting-scheduler-by-vcita,27.36,8.99,8000,10,1,4.57,97,3.8,3.8
WP Hotel Booking,wp-hotel-booking,27.3,9.21,10000,10,1,3.89,49,4.2,4.2
Appointment Booking Calendar,appointment-booking-calendar,26.92,8.52,5000,10,1,4.3,74,4.1,4.1
Advanced Booking Calendar,advanced-booking-calendar,26.73,8.29,4000,10,1,3.74,42,4.7,4.7
WooCommerce Easy Booking,woocommerce-easy-booking-system,26.35,8.52,5000,10,1,3.43,31,4.4,4.4
Amelia &#8211; Events &amp; Appointments Booking Calendar,ameliabooking,25.74,8.29,4000,10,1,3.04,21,4.4,4.4
Booking Activities,booking-activities,25.45,6.91,1000,10,1,3.64,38,4.9,4.9
Sagenda &#8211; Free booking system,sagenda,25.08,6.91,1000,10,1,3.87,48,4.3,4.3
Checkfront Online Booking System,checkfront-wp-booking,24.88,8.29,4000,10,1,2.48,12,4.1,4.1
AweBooking &#8211; Hotel Booking System,awebooking,24.79,8.7,6000,10,1,2.89,18,3.2,3.2
Webba Booking Lite,webba-booking-lite,24.55,6.91,1000,10,1,2.94,19,4.7,4.7
Hotel Booking Lite,motopress-hotel-booking-lite,24.31,7.6,2000,10,1,2.71,15,4.0,4.0
Ultimate Appointment Booking &amp; Scheduling,ultimate-appointment-scheduling,24.05,6.8,900,10,1,2.94,19,4.3,4.3
Booking Package &#8211; Appointment Booking Calendar System,booking-package,23.99,7.6,2000,10,1,1.39,4,5.0,5.0
Appointment Scheduling and Online Booking by CozyCal,online-booking,23.99,6.21,500,10,1,2.77,16,5.0,5.0
Event Management Tickets Booking By Event Monster,event-monster,23.99,6.21,500,10,1,2.77,16,5.0,5.0
Booking Calendar Contact Form,booking-calendar-contact-form,23.9,6.91,1000,10,1,3.3,27,3.7,3.7
VikBooking Hotel Booking Engine &amp; PMS,vikbooking,23.85,6.55,700,10,1,2.3,10,5.0,5.0
10to8 Online Appointment Booking System,10to8-online-booking,23.7,7.6,2000,10,1,1.1,3,5.0,5.0
Opal Hotel Room Booking,opal-hotel-room-booking,23.01,6.91,1000,10,1,2.4,11,3.7,3.7
Beds24 Online Booking,beds24-online-booking,23.0,6.91,1000,10,1,1.79,6,4.3,4.3
WordPress Calendar Booking &#8211; Online Scheduling Plugin for WordPress,calendar-booking,22.81,6.8,900,10,1,1.61,5,4.4,4.4
Bus Ticket Booking with Seat Reservation,bus-ticket-booking-with-seat-reservation,22.8,5.7,300,10,1,2.2,9,4.9,4.9
Online Appointment Scheduling Widget and Booking System,simplybookme-online-appointment-scheduling-widget-and-booking-system,22.5,6.91,1000,10,1,2.2,9,3.4,3.4
Sagenda &#8211; Free booking calendar,sagenda-calendar,22.49,6.68,800,10,1,1.61,5,4.2,4.2
WooCommerce Accommodation Bookings,woocommerce-accommodation-bookings,22.49,7.6,2000,10,1,2.48,12,2.4,2.4
Salon Booking,salon-booking,22.07,6.68,800,10,1,1.39,4,4.0,4.0
Jomres Booking System,jomres,22.03,5.3,200,10,1,2.83,17,3.9,3.9
WP Hotel Booking Room,wp-hotel-booking-booking-room,21.91,6.91,1000,10,1,0.0,1,5.0,5.0
WP Hotel Booking Report,wp-hotel-booking-report,21.91,6.91,1000,10,1,0.0,1,5.0,5.0
WP Booking,wp-booking-management-system,21.82,6.21,500,10,1,1.61,5,4.0,4.0
Google Calendar Event Add-on WooCommerce Bookings,gcal-event-addon-woocommerce-bookings,21.68,5.99,400,10,1,0.69,2,5.0,5.0
Booking.com Product Helper,bookingcom-product-helper,21.6,7.6,2000,10,1,0.0,1,4.0,4.0
Calculated Fields Form,calculated-fields-form,21.54,10.6,40000,0,0,6.15,467,4.8,4.8
Events Manager,events-manager,21.51,11.51,100000,0,0,5.69,297,4.3,4.3
Online Lesson Booking,online-lesson-booking-system,21.5,6.8,900,10,1,0.69,2,4.0,4.0
Booster for WooCommerce,woocommerce-jetpack,21.39,11.0,60000,0,0,5.69,296,4.7,4.7
Solidres &#8211; Hotel booking plugin for WordPress,solidres,21.29,5.3,200,10,1,1.79,6,4.2,4.2
WooCommerce Bookings Dropdown,woo-bookings-dropdown,21.11,5.3,200,10,1,1.61,5,4.2,4.2
WP Ride Booking,wp-ride-booking,21.09,5.7,300,10,1,1.39,4,4.0,4.0
"Appointment, Reservation and Rental Booking for Woocommerce",appointment-reservation-and-rental-booking-for-woocommerce,21.01,6.21,500,10,1,1.79,6,3.0,3.0
Booking calendar with availability management,booking-calendar-with-availability-management,20.68,5.3,200,10,1,1.39,4,4.0,4.0
Booking Manager,booking-manager,20.6,7.6,2000,10,1,0.0,1,3.0,3.0
WP Time Slots Booking Form,wp-time-slots-booking-form,20.6,3.4,30,10,1,2.2,9,5.0,5.0
Appointment Booking Scheduler,appointment-booking-scheduler,20.59,6.4,600,10,1,0.69,2,3.5,3.5
"Lodgix.com Vacation Rental Listing, Management &amp; Booking Plugin",lodgixcom-vacation-rental-listing-management-booking-plugin,20.48,5.99,400,10,1,1.79,6,2.7,2.7
TI WooCommerce Wishlist Plugin,ti-woocommerce-wishlist,20.46,10.6,40000,0,0,5.06,158,4.8,4.8
JoeBooking &#8211; Time Slot Booking,joebooking,20.45,4.61,100,10,1,1.95,7,3.9,3.9
WooCommerce Multilingual &#8211; run WooCommerce with WPML,woocommerce-multilingual,20.3,11.51,100000,0,0,4.99,147,3.8,3.8
Import users from CSV with meta,import-users-from-csv-with-meta,19.98,10.31,30000,0,0,4.87,130,4.8,4.8
"Dokan &#8211; Best WooCommerce Multivendor Marketplace Solution &#8211; Build Your Own Amazon, eBay, Etsy",dokan-lite,19.84,9.9,20000,0,0,5.44,230,4.5,4.5
"WP BASE Booking of Appointments, Services and Events",wp-base-booking-of-appointments-services-and-events,19.79,4.09,60,10,1,0.69,2,5.0,5.0
Oui! Booking,oui-booking,19.79,4.09,60,10,1,0.69,2,5.0,5.0
Rezgo Online Booking,rezgo,19.68,5.99,400,10,1,0.69,2,3.0,3.0
eZee Online Hotel Booking Engine,online-booking-engine,19.39,5.3,200,10,1,1.79,6,2.3,2.3
TuriTop Booking System,turitop-booking-system,19.38,4.38,80,10,1,0.0,1,5.0,5.0
Awesome Event Booking,awesome-event-booking,19.38,4.38,80,10,1,0.0,1,5.0,5.0
Restaurant Reservations,restaurant-reservations,19.27,9.9,20000,0,0,4.56,96,4.8,4.8
Price Based on Country for WooCommerce,woocommerce-product-price-based-on-countries,19.05,9.21,10000,0,0,5.04,154,4.8,4.8
WCFM Marketplace &#8211; WooCommerce Multivendor Marketplace,wc-multivendor-marketplace,18.46,9.21,10000,0,0,4.25,70,5.0,5.0
WP Booking,wp-easy-booking,18.4,3.4,30,10,1,0.0,1,5.0,5.0
BookServe Online Booking Calendar,book-serve-reservations,18.4,3.4,30,10,1,0.0,1,5.0,5.0
WC Vendors Marketplace &#8211; The Multivendor Marketplace Solution for WooCommerce,wc-vendors,18.32,9.21,10000,0,0,4.71,111,4.4,4.4
Events Made Easy,events-made-easy,18.08,8.99,8000,0,0,4.49,89,4.6,4.6
Easy Appointments,easy-appointments,18.05,9.21,10000,0,0,4.34,77,4.5,4.5
Ultimate Booking Manager,dt-booking-manager,18.0,3.0,20,10,1,0.0,1,5.0,5.0
Modern Events Calendar Lite,modern-events-calendar-lite,17.94,9.21,10000,0,0,4.33,76,4.4,4.4
Appointment booking calendar by BookingRobin for WordPress,bookingrobin,17.61,3.91,50,10,1,0.69,2,3.0,3.0
Hotel Booking &amp; Elementor Integration,mphb-elementor,17.6,7.6,2000,10,1,0,0,0.0,0.0
WP Travel Engine,wp-travel-engine,17.32,8.99,8000,0,0,3.43,31,4.9,4.9
WP Travel,wp-travel,17.01,8.52,5000,0,0,3.69,40,4.8,4.8
WP Hotel Booking WooCommerce,wp-hotel-booking-woocommerce,16.91,6.91,1000,10,1,0,0,0.0,0.0
Travel Booking Toolkit,travel-booking-toolkit,16.91,6.91,1000,10,1,0,0,0.0,0.0
WP Hotel Booking Coupon,wp-hotel-booking-coupon,16.91,6.91,1000,10,1,0,0,0.0,0.0
WP Hotel Booking Stripe Payment,wp-hotel-booking-stripe-payment,16.91,6.91,1000,10,1,0,0,0.0,0.0
Event Espresso 4 Decaf &#8211; Event Registration Event Ticketing,event-espresso-decaf,16.55,7.6,2000,0,0,4.64,104,4.3,4.3
Hotel Booking &amp; Divi Integration,mphb-divi,16.21,6.21,500,10,1,0,0,0.0,0.0
Avirato hotels online booking engine,avirato-calendar,15.7,5.7,300,10,1,0,0,0.0,0.0
Acuity Scheduling,acuity-online-appointment-scheduling,15.19,9.21,10000,0,0,2.08,8,3.9,3.9
Add to Cart Button Custom Text,add-to-cart-button-custom-text,15.11,8.52,5000,0,0,1.79,6,4.8,4.8
Simply Schedule Appointments,simply-schedule-appointments,15.09,7.6,2000,0,0,2.48,12,5.0,5.0
Appointment Scheduler,appointment-scheduler-weblizar,14.65,8.01,3000,0,0,2.64,14,4.0,4.0
Easy WP Hotelier,wp-hotelier,14.18,7.6,2000,0,0,2.08,8,4.5,4.5
Appointment Booking For Business,appointment-booking-for-business,13.69,3.69,40,10,1,0,0,0.0,0.0
Schedulicity &#8211; Easy Online Scheduling,schedulicity-online-appointment-booking,11.8,6.8,900,0,0,0.0,1,5.0,5.0
Book appointment online,book-appointment-online,11.7,5.7,300,0,0,1.79,6,4.2,4.2
freetobook widget,freetobook-booking-button,11.08,6.68,800,0,0,1.1,3,3.3,3.3
BA Book Everything,ba-book-everything,10.7,4.61,100,0,0,1.1,3,5.0,5.0
Booqable Online Rental Shop,booqable-rental-reservations,6.21,6.21,500,0,0,0,0,0.0,0.0
